Map,Winner,Team1StartingSide,Team2StartingSide,AverageACSTeam1,AverageACSTeam2,AverageKillsTeam1,AverageKillsTeam2,TotalFKTeam1,TotalFKTeam2,TotalFDTeam1,TotalFDTeam2,TotalKillsTeam1,TotalKillsTeam2,TotalDeathsTeam1,TotalDeathsTeam2,TotalFKFDTeam1,TotalFKFDTeam2,EntryFKFDTeam1,EntryFKFDTeam2,HsPercentageTeam1,HsPercentageTeam2
Haven,1,T,CT,240.8,162.4,14.8,8.4,10,6,6,10,74,42,42,74,4,-4,0.8,-0.8,32.8,21.4
Ascent,1,CT,T,252.8,180.0,17.2,10.6,16,3,3,16,86,53,53,86,13,-13,2.6,-2.6,28.2,26.4
Haven,1,T,CT,224.6,153.4,14.8,8.8,12,6,6,12,74,44,44,74,6,-6,1.2,-1.2,36.2,28.2
Bind,1,T,CT,229.0,145.2,13.6,7.4,12,4,4,12,68,37,37,68,8,-8,1.6,-1.6,27.8,21.2
Haven,1,T,CT,214.2,197.6,16.8,15.4,13,10,10,13,84,77,77,84,3,-3,0.6,-0.6,22.8,25.8
Icebox,1,CT,T,225.2,221.4,18.0,17.0,11,12,12,11,90,85,85,90,-1,1,-0.2,0.2,23.2,31.0
Bind,-1,CT,T,177.2,227.0,12.6,17.4,6,15,14,7,63,87,87,63,-8,8,-1.6,1.6,24.2,31.8
Icebox,-1,T,CT,204.0,230.4,15.2,17.0,11,11,11,11,76,85,85,76,0,0,0.0,0.0,28.6,29.6
Split,-1,T,CT,178.6,219.8,13.8,17.6,13,10,10,13,69,88,88,69,3,-3,0.6,-0.6,27.8,29.0
Ascent,1,CT,T,222.2,152.4,13.8,8.4,11,6,5,12,69,42,42,69,6,-6,1.2,-1.2,25.6,34.2
Bind,1,CT,T,204.8,177.6,15.0,13.4,11,10,9,12,75,67,67,75,2,-2,0.4,-0.4,23.8,25.4
Haven,-1,CT,T,180.8,197.4,13.8,16.0,9,14,14,9,69,80,80,69,-5,5,-1.0,1.0,28.6,30.8
Split,-1,CT,T,179.8,220.0,11.4,15.8,11,9,9,11,57,79,79,57,2,-2,0.4,-0.4,18.0,22.2
Ascent,1,T,CT,212.2,208.0,16.4,15.8,9,13,13,9,82,79,79,82,-4,4,-0.8,0.8,23.4,25.8
Bind,1,CT,T,194.8,179.4,15.4,14.2,15,8,8,15,77,71,71,77,7,-7,1.4,-1.4,31.0,29.0
Fracture,1,T,CT,217.8,196.8,17.0,14.6,13,9,9,13,85,73,73,85,4,-4,0.8,-0.8,20.0,25.6
Icebox,1,CT,T,258.6,162.2,14.2,7.2,10,5,5,10,71,36,36,71,5,-5,1.0,-1.0,33.0,18.4
Haven,1,T,CT,234.4,181.2,19.2,14.6,14,9,9,14,96,73,73,96,5,-5,1.0,-1.0,30.2,21.4
Haven,1,CT,T,260.4,111.0,13.0,4.2,13,0,0,13,65,21,21,65,13,-13,2.6,-2.6,26.8,24.8
Icebox,1,T,CT,225.2,188.8,16.8,13.8,13,9,9,13,84,69,69,84,4,-4,0.8,-0.8,25.6,28.2
Ascent,-1,T,CT,195.2,223.8,16.0,18.4,11,13,13,11,80,92,92,80,-2,2,-0.4,0.4,34.4,25.4
Icebox,-1,CT,T,183.6,240.2,11.4,16.0,7,12,12,7,57,80,80,57,-5,5,-1.0,1.0,26.8,23.6
Haven,1,T,CT,241.2,190.0,17.0,11.8,14,5,5,14,85,59,59,85,9,-9,1.8,-1.8,26.6,26.0
Breeze,1,CT,T,216.6,195.0,15.8,13.2,12,8,8,12,79,66,66,79,4,-4,0.8,-0.8,28.0,30.0
Haven,1,CT,T,204.0,196.8,17.6,16.2,10,14,14,10,88,81,81,88,-4,4,-0.8,0.8,29.6,20.0
Icebox,1,T,CT,239.0,195.0,14.6,11.2,11,6,6,11,73,56,56,73,5,-5,1.0,-1.0,27.4,28.2
Split,1,T,CT,255.2,140.0,14.6,7.2,10,6,6,10,73,36,36,73,4,-4,0.8,-0.8,23.8,18.8
Bind,-1,CT,T,202.0,195.0,15.0,14.6,11,11,12,10,75,73,73,75,-1,1,-0.2,0.2,24.6,28.2
Haven,1,T,CT,199.2,195.6,16.6,16.2,13,11,11,13,83,81,82,83,2,-2,0.4,-0.4,25.8,28.8
Haven,-1,CT,T,180.8,197.4,13.8,16.0,9,14,14,9,69,80,80,69,-5,5,-1.0,1.0,28.6,30.8
Split,-1,CT,T,179.8,220.0,11.4,15.8,11,9,9,11,57,79,79,57,2,-2,0.4,-0.4,18.0,22.2
Ascent,1,T,CT,212.2,208.0,16.4,15.8,9,13,13,9,82,79,79,82,-4,4,-0.8,0.8,23.4,25.8
Bind,1,CT,T,194.8,179.4,15.4,14.2,15,8,8,15,77,71,71,77,7,-7,1.4,-1.4,31.0,29.0
Fracture,1,T,CT,217.8,196.8,17.0,14.6,13,9,9,13,85,73,73,85,4,-4,0.8,-0.8,20.0,25.6
Split,1,T,CT,255.2,140.0,14.6,7.2,10,6,6,10,73,36,36,73,4,-4,0.8,-0.8,23.8,18.8
Bind,-1,CT,T,202.0,195.0,15.0,14.6,11,11,12,10,75,73,73,75,-1,1,-0.2,0.2,24.6,28.2
Haven,1,T,CT,199.2,195.6,16.6,16.2,13,11,11,13,83,81,82,83,2,-2,0.4,-0.4,25.8,28.8
Haven,1,CT,T,204.0,196.8,17.6,16.2,10,14,14,10,88,81,81,88,-4,4,-0.8,0.8,29.6,20.0
Icebox,1,T,CT,239.0,195.0,14.6,11.2,11,6,6,11,73,56,56,73,5,-5,1.0,-1.0,27.4,28.2
Split,-1,T,CT,178.6,219.8,13.8,17.6,13,10,10,13,69,88,88,69,3,-3,0.6,-0.6,27.8,29.0
Ascent,1,CT,T,222.2,152.4,13.8,8.4,11,6,5,12,69,42,42,69,6,-6,1.2,-1.2,25.6,34.2
Bind,1,CT,T,204.8,177.6,15.0,13.4,11,10,9,12,75,67,67,75,2,-2,0.4,-0.4,23.8,25.4
Ascent,-1,T,CT,195.2,223.8,16.0,18.4,11,13,13,11,80,92,92,80,-2,2,-0.4,0.4,34.4,25.4
Icebox,-1,CT,T,183.6,240.2,11.4,16.0,7,12,12,7,57,80,80,57,-5,5,-1.0,1.0,26.8,23.6
Breeze,1,T,CT,235.4,185.4,16.2,12.0,10,9,9,10,81,60,60,81,1,-1,0.2,-0.2,34.4,27.0
Haven,-1,T,CT,180.2,215.2,14.6,17.2,11,12,12,11,73,86,86,73,-1,1,-0.2,0.2,23.4,24.0
Fracture,1,T,CT,241.4,166.2,14.8,9.0,9,8,8,9,74,45,45,74,1,-1,0.2,-0.2,20.8,20.8
Split,-1,CT,T,165.0,232.6,10.2,15.6,7,12,12,7,51,78,78,51,-5,5,-1.0,1.0,22.2,26.0
Breeze,1,T,CT,186.6,211.4,15.2,17.4,9,15,15,9,76,87,87,76,-6,6,-1.2,1.2,24.6,21.2
Haven,1,T,CT,220.6,168.2,15.6,11.6,10,10,10,10,78,58,58,78,0,0,0.0,0.0,28.0,32.0
Haven,1,CT,T,218.2,185.2,14.6,12.2,13,6,6,13,73,61,61,73,7,-7,1.4,-1.4,25.4,21.8
Bind,-1,T,CT,164.4,253.6,7.6,14.2,3,12,12,3,38,71,71,38,-9,9,-1.8,1.8,22.4,26.0
Icebox,-1,T,CT,202.0,235.4,11.6,14.6,7,10,10,7,58,73,73,58,-3,3,-0.6,0.6,25.6,27.0
Haven,1,CT,T,222.6,168.8,14.4,10.2,10,8,8,10,72,51,51,72,2,-2,0.4,-0.4,26.0,23.4
Icebox,1,T,CT,209.8,206.8,16.4,16.4,12,11,11,12,82,82,82,82,1,-1,0.2,-0.2,28.2,24.8
Haven,-1,T,CT,157.4,225.4,10.4,15.8,9,11,11,9,52,79,79,52,-2,2,-0.4,0.4,33.6,28.6
Bind,1,CT,T,212.4,179.2,15.8,13.0,13,8,8,13,79,65,65,79,5,-5,1.0,-1.0,27.0,31.2
Fracture,-1,CT,T,188.2,229.6,14.2,18.4,9,13,13,9,71,92,92,71,-4,4,-0.8,0.8,27.8,25.0
Icebox,-1,CT,T,181.0,255.4,8.2,13.8,4,11,11,4,41,69,69,41,-7,7,-1.4,1.4,24.2,23.2
Haven,-1,T,CT,193.6,198.0,15.4,17.0,15,9,9,15,77,85,85,77,6,-6,1.2,-1.2,29.0,27.0
Icebox,-1,CT,T,181.0,255.4,8.2,13.8,4,11,11,4,41,69,69,41,-7,7,-1.4,1.4,24.2,23.2
Haven,-1,T,CT,193.6,198.0,15.4,17.0,15,9,9,15,77,85,85,77,6,-6,1.2,-1.2,29.0,27.0
Haven,-1,T,CT,157.4,225.4,10.4,15.8,9,11,11,9,52,79,79,52,-2,2,-0.4,0.4,33.6,28.6
Bind,1,CT,T,212.4,179.2,15.8,13.0,13,8,8,13,79,65,65,79,5,-5,1.0,-1.0,27.0,31.2
Fracture,-1,CT,T,188.2,229.6,14.2,18.4,9,13,13,9,71,92,92,71,-4,4,-0.8,0.8,27.8,25.0
Haven,1,CT,T,222.6,168.8,14.4,10.2,10,8,8,10,72,51,51,72,2,-2,0.4,-0.4,26.0,23.4
Icebox,1,T,CT,209.8,206.8,16.4,16.4,12,11,11,12,82,82,82,82,1,-1,0.2,-0.2,28.2,24.8
Haven,1,CT,T,218.2,185.2,14.6,12.2,13,6,6,13,73,61,61,73,7,-7,1.4,-1.4,25.4,21.8
Bind,-1,T,CT,164.4,253.6,7.6,14.2,3,12,12,3,38,71,71,38,-9,9,-1.8,1.8,22.4,26.0
Icebox,-1,T,CT,202.0,235.4,11.6,14.6,7,10,10,7,58,73,73,58,-3,3,-0.6,0.6,25.6,27.0
Split,-1,CT,T,165.0,232.6,10.2,15.6,7,12,12,7,51,78,78,51,-5,5,-1.0,1.0,22.2,26.0
Breeze,1,T,CT,186.6,211.4,15.2,17.4,9,15,15,9,76,87,87,76,-6,6,-1.2,1.2,24.6,21.2
Haven,1,T,CT,220.6,168.2,15.6,11.6,10,10,10,10,78,58,58,78,0,0,0.0,0.0,28.0,32.0
Ascent,1,CT,T,226.8,154.6,13.6,9.0,13,4,4,13,68,45,45,68,9,-9,1.8,-1.8,25.8,25.8
Haven,1,T,CT,242.4,158.2,13.4,7.8,8,7,7,8,67,39,39,67,1,-1,0.2,-0.2,26.6,19.2
Fracture,1,T,CT,227.2,172.8,15.2,10.8,12,6,6,12,76,54,54,76,6,-6,1.2,-1.2,25.8,26.0
Ascent,1,CT,T,216.4,182.4,17.0,13.6,11,11,11,11,85,68,68,85,0,0,0.0,0.0,25.4,27.0
Fracture,1,CT,T,229.2,178.8,15.4,11.0,11,7,7,11,77,55,55,77,4,-4,0.8,-0.8,25.0,29.0
Haven,-1,CT,T,184.8,227.4,13.0,16.6,10,10,10,10,65,83,83,65,0,0,0.0,0.0,30.0,30.8
Bind,1,CT,T,205.8,180.6,16.0,13.4,13,9,9,13,80,67,67,80,4,-4,0.8,-0.8,27.6,21.6
Ascent,1,CT,T,220.6,193.4,17.8,15.2,13,10,10,13,89,76,76,89,3,-3,0.6,-0.6,15.8,27.8
Bind,1,T,CT,222.4,210.6,18.4,17.6,11,13,13,11,92,88,88,92,-2,2,-0.4,0.4,26.4,24.8
Bind,-1,CT,T,146.0,243.4,8.0,15.0,6,11,11,6,40,75,75,40,-5,5,-1.0,1.0,25.6,31.0
Haven,1,T,CT,202.6,190.6,17.4,15.6,14,10,10,14,87,78,78,87,4,-4,0.8,-0.8,28.6,27.6
Icebox,1,T,CT,202.6,212.6,18.2,18.8,11,15,15,11,91,94,94,91,-4,4,-0.8,0.8,21.4,32.2
Split,1,CT,T,135.8,98.6,21.8,19.6,7,7,7,7,109,98,98,109,0,0,0.0,0.0,21.8,19.4
Haven,-1,CT,T,178.8,226.2,10.8,14.6,7,11,11,7,54,73,73,54,-4,4,-0.8,0.8,28.4,24.8
Bind,-1,CT,T,200.8,211.6,18.2,18.6,15,11,11,15,91,93,93,91,4,-4,0.8,-0.8,23.4,23.2
Breeze,-1,T,CT,207.2,201.2,16.2,16.4,11,12,12,11,81,82,82,81,-1,1,-0.2,0.2,27.0,32.4
Icebox,-1,T,CT,222.4,220.0,22.8,22.8,19,11,11,19,114,114,114,114,8,-8,1.6,-1.6,29.6,22.8
Ascent,-1,CT,T,182.2,210.8,16.2,19.4,10,16,16,10,81,97,97,81,-6,6,-1.2,1.2,16.2,25.6
Haven,-1,T,CT,188.4,206.6,15.0,16.4,12,11,11,12,75,82,82,75,1,-1,0.2,-0.2,23.6,35.8
Split,-1,CT,T,197.2,211.6,19.0,20.6,12,16,16,12,95,103,103,95,-4,4,-0.8,0.8,17.6,24.6
Ascent,1,CT,T,202.2,206.8,16.6,17.0,10,14,14,10,83,85,85,83,-4,4,-0.8,0.8,22.2,34.0
Icebox,-1,T,CT,208.8,217.8,17.2,18.0,11,13,13,11,86,90,90,86,-2,2,-0.4,0.4,26.6,30.2
Split,-1,T,CT,184.8,225.2,11.8,15.4,9,10,10,9,59,77,77,59,-1,1,-0.2,0.2,27.2,27.4
Icebox,1,T,CT,220.6,186.2,17.2,13.4,14,8,8,14,86,67,68,86,6,-6,1.2,-1.2,29.0,25.6
Breeze,-1,CT,T,196.6,207.2,14.8,16.0,12,10,10,12,74,80,80,74,2,-2,0.4,-0.4,27.4,30.2
Haven,-1,T,CT,191.0,213.6,14.2,17.0,11,11,11,11,71,85,85,71,0,0,0.0,0.0,34.6,27.2
Ascent,-1,T,CT,196.6,213.4,17.6,19.2,14,12,12,14,88,96,96,88,2,-2,0.4,-0.4,22.6,27.4
Fracture,-1,CT,T,172.6,198.6,13.0,15.4,9,13,13,9,65,77,77,65,-4,4,-0.8,0.8,23.0,27.0
Bind,-1,T,CT,212.0,213.8,19.2,19.0,11,15,15,11,96,95,95,96,-4,4,-0.8,0.8,29.0,25.2
Haven,1,CT,T,235.6,146.2,15.8,9.0,11,7,7,11,79,45,45,79,4,-4,0.8,-0.8,28.6,29.8
Ascent,1,CT,T,210.8,146.0,15.0,9.2,12,8,8,12,75,46,46,75,4,-4,0.8,-0.8,32.8,32.8
Icebox,-1,CT,T,212.0,221.2,16.6,17.8,9,14,14,9,83,89,89,83,-5,5,-1.0,1.0,29.8,28.6
Split,-1,T,CT,188.2,220.8,15.2,19.0,6,18,18,6,76,95,95,76,-12,12,-2.4,2.4,33.4,22.4
Ascent,-1,CT,T,187.4,207.4,12.8,15.0,10,10,10,10,64,75,75,64,0,0,0.0,0.0,19.6,22.8
Haven,-1,T,CT,182.4,210.6,13.4,15.6,9,12,12,9,67,78,78,67,-3,3,-0.6,0.6,26.8,20.6
Ascent,-1,CT,T,182.2,210.8,16.2,19.4,10,16,16,10,81,97,97,81,-6,6,-1.2,1.2,16.2,25.6
Haven,-1,T,CT,188.4,206.6,15.0,16.4,12,11,11,12,75,82,82,75,1,-1,0.2,-0.2,23.6,35.8
Split,-1,CT,T,197.2,211.6,19.0,20.6,12,16,16,12,95,103,103,95,-4,4,-0.8,0.8,17.6,24.6
Ascent,-1,CT,T,187.4,207.4,12.8,15.0,10,10,10,10,64,75,75,64,0,0,0.0,0.0,19.6,22.8
Haven,-1,T,CT,182.4,210.6,13.4,15.6,9,12,12,9,67,78,78,67,-3,3,-0.6,0.6,26.8,20.6
Icebox,-1,CT,T,212.0,221.2,16.6,17.8,9,14,14,9,83,89,89,83,-5,5,-1.0,1.0,29.8,28.6
Split,-1,T,CT,188.2,220.8,15.2,19.0,6,18,18,6,76,95,95,76,-12,12,-2.4,2.4,33.4,22.4
Breeze,-1,T,CT,207.2,201.2,16.2,16.4,11,12,12,11,81,82,82,81,-1,1,-0.2,0.2,27.0,32.4
Icebox,-1,T,CT,222.4,220.0,22.8,22.8,19,11,11,19,114,114,114,114,8,-8,1.6,-1.6,29.6,22.8
Ascent,-1,T,CT,196.6,213.4,17.6,19.2,14,12,12,14,88,96,96,88,2,-2,0.4,-0.4,22.6,27.4
Fracture,-1,CT,T,172.6,198.6,13.0,15.4,9,13,13,9,65,77,77,65,-4,4,-0.8,0.8,23.0,27.0
Icebox,1,T,CT,235.0,166.6,16.4,10.0,11,8,8,11,82,50,50,82,3,-3,0.6,-0.6,31.2,22.6
Haven,1,CT,T,226.6,174.0,18.6,13.6,15,8,8,15,93,68,68,93,7,-7,1.4,-1.4,33.6,21.8
Haven,-1,T,CT,183.4,234.2,12.8,16.8,4,16,16,4,64,84,84,64,-12,12,-2.4,2.4,35.2,26.4
Ascent,-1,CT,T,156.4,240.4,8.0,13.8,4,12,12,4,40,69,69,40,-8,8,-1.6,1.6,24.6,23.2
Ascent,1,T,CT,224.6,205.6,22.4,19.2,16,12,12,16,112,96,96,112,4,-4,0.8,-0.8,20.0,23.0
Icebox,1,CT,T,218.2,192.6,17.0,14.4,11,11,11,11,85,72,72,85,0,0,0.0,0.0,25.0,26.2
Breeze,1,T,CT,226.6,166.6,14.8,10.2,11,7,7,11,74,51,51,74,4,-4,0.8,-0.8,31.0,32.4
Ascent,1,CT,T,236.4,203.0,17.6,14.4,11,10,10,11,88,72,73,88,1,-1,0.2,-0.2,26.6,27.2
Ascent,-1,T,CT,180.4,222.0,11.0,15.4,9,10,10,9,55,77,77,55,-1,1,-0.2,0.2,25.2,24.8
Icebox,-1,CT,T,211.2,209.8,19.8,20.2,16,12,12,16,99,101,101,99,4,-4,0.8,-0.8,21.6,27.4
Icebox,1,CT,T,204.2,214.4,16.6,17.0,11,12,12,11,83,85,85,83,-1,1,-0.2,0.2,24.8,27.4
Split,1,T,CT,235.0,185.0,17.2,12.4,11,9,9,11,86,62,62,86,2,-2,0.4,-0.4,29.6,18.4
Haven,1,CT,T,241.2,180.4,13.8,8.8,12,3,3,12,69,44,44,69,9,-9,1.8,-1.8,31.0,18.4
Fracture,1,T,CT,209.2,182.6,25.2,21.6,25,9,9,25,126,108,108,126,16,-16,3.2,-3.2,20.6,22.0
Ascent,1,CT,T,227.8,173.6,16.2,10.6,15,4,4,15,81,53,53,81,11,-11,2.2,-2.2,24.2,22.8
Breeze,-1,T,CT,155.8,229.8,10.6,16.6,9,11,11,9,53,83,83,53,-2,2,-0.4,0.4,25.8,31.8
Icebox,1,CT,T,235.2,187.8,24.6,19.2,14,16,16,14,123,96,96,123,-2,2,-0.4,0.4,21.2,18.0
Bind,-1,CT,T,201.6,221.8,16.6,18.2,12,12,12,12,83,91,91,83,0,0,0.0,0.0,24.4,23.6
Haven,-1,CT,T,176.4,220.0,12.8,16.6,6,15,15,6,64,83,83,64,-9,9,-1.8,1.8,30.0,21.8
Haven,-1,CT,T,167.0,210.0,13.8,16.8,7,16,16,7,69,84,84,69,-9,9,-1.8,1.8,37.6,23.6
Icebox,1,T,CT,231.8,199.4,18.4,15.4,14,9,9,14,92,77,77,92,5,-5,1.0,-1.0,26.8,21.0
Bind,-1,T,CT,159.2,230.8,9.4,15.2,4,14,14,4,47,76,76,47,-10,10,-2.0,2.0,37.0,28.8
Bind,-1,CT,T,194.0,221.0,13.4,16.2,8,12,12,8,67,81,81,67,-4,4,-0.8,0.8,32.2,26.2
Icebox,-1,T,CT,159.2,238.6,9.2,15.8,8,10,10,8,46,79,79,46,-2,2,-0.4,0.4,25.6,21.6
Haven,1,CT,T,241.2,180.4,13.8,8.8,12,3,3,12,69,44,44,69,9,-9,1.8,-1.8,31.0,18.4
Fracture,1,T,CT,209.2,182.6,25.2,21.6,25,9,9,25,126,108,108,126,16,-16,3.2,-3.2,20.6,22.0
Ascent,1,CT,T,227.8,173.6,16.2,10.6,15,4,4,15,81,53,53,81,11,-11,2.2,-2.2,24.2,22.8
Bind,-1,CT,T,194.0,221.0,13.4,16.2,8,12,12,8,67,81,81,67,-4,4,-0.8,0.8,32.2,26.2
Icebox,-1,T,CT,159.2,238.6,9.2,15.8,8,10,10,8,46,79,79,46,-2,2,-0.4,0.4,25.6,21.6
Haven,-1,CT,T,167.0,210.0,13.8,16.8,7,16,16,7,69,84,84,69,-9,9,-1.8,1.8,37.6,23.6
Icebox,1,T,CT,231.8,199.4,18.4,15.4,14,9,9,14,92,77,77,92,5,-5,1.0,-1.0,26.8,21.0
Bind,-1,T,CT,159.2,230.8,9.4,15.2,4,14,14,4,47,76,76,47,-10,10,-2.0,2.0,37.0,28.8
Icebox,1,CT,T,204.2,214.4,16.6,17.0,11,12,12,11,83,85,85,83,-1,1,-0.2,0.2,24.8,27.4
Split,1,T,CT,235.0,185.0,17.2,12.4,11,9,9,11,86,62,62,86,2,-2,0.4,-0.4,29.6,18.4
Haven,-1,CT,T,176.4,220.0,12.8,16.6,6,15,15,6,64,83,83,64,-9,9,-1.8,1.8,30.0,21.8
Icebox,1,T,CT,224.0,198.4,14.8,11.6,9,9,9,9,74,58,58,74,0,0,0.0,0.0,20.2,25.8
Ascent,1,T,CT,216.4,179.8,17.6,15.2,13,11,11,13,88,76,76,88,2,-2,0.4,-0.4,21.0,15.6
Haven,1,CT,T,188.0,196.8,15.4,15.8,11,12,12,11,77,79,79,77,-1,1,-0.2,0.2,24.4,26.4
Fracture,-1,T,CT,194.2,223.6,14.6,17.4,11,11,11,11,73,87,87,73,0,0,0.0,0.0,23.2,28.6
Haven,-1,CT,T,178.4,227.2,11.4,16.4,6,14,14,6,57,82,82,57,-8,8,-1.6,1.6,27.6,29.4
Split,-1,T,CT,169.8,259.4,9.0,15.2,5,11,11,5,45,76,76,45,-6,6,-1.2,1.2,24.6,25.2
Haven,1,CT,T,193.0,176.6,15.6,13.8,14,9,9,14,78,69,69,78,5,-5,1.0,-1.0,23.2,29.0
Ascent,1,T,CT,212.8,193.2,16.8,15.4,9,14,14,9,84,77,77,84,-5,5,-1.0,1.0,22.2,27.8
Split,-1,CT,T,178.2,221.8,12.6,16.6,14,7,7,14,63,83,83,63,7,-7,1.4,-1.4,22.8,29.4
Icebox,-1,T,CT,200.2,213.2,12.4,14.2,9,10,10,9,62,71,71,62,-1,1,-0.2,0.2,24.6,34.4
Fracture,1,CT,T,202.8,187.8,18.6,17.0,16,10,10,16,93,85,85,93,6,-6,1.2,-1.2,22.4,29.4
Haven,1,CT,T,193.0,176.6,15.6,13.8,14,9,9,14,78,69,69,78,5,-5,1.0,-1.0,23.2,29.0
Ascent,1,T,CT,212.8,193.2,16.8,15.4,9,14,14,9,84,77,77,84,-5,5,-1.0,1.0,22.2,27.8
Split,-1,CT,T,178.2,221.8,12.6,16.6,14,7,7,14,63,83,83,63,7,-7,1.4,-1.4,22.8,29.4
Icebox,-1,T,CT,200.2,213.2,12.4,14.2,9,10,10,9,62,71,71,62,-1,1,-0.2,0.2,24.6,34.4
Fracture,1,CT,T,202.8,187.8,18.6,17.0,16,10,10,16,93,85,85,93,6,-6,1.2,-1.2,22.4,29.4
Fracture,-1,T,CT,194.2,223.6,14.6,17.4,11,11,11,11,73,87,87,73,0,0,0.0,0.0,23.2,28.6
Haven,-1,CT,T,178.4,227.2,11.4,16.4,6,14,14,6,57,82,82,57,-8,8,-1.6,1.6,27.6,29.4
Split,-1,T,CT,169.8,259.4,9.0,15.2,5,11,11,5,45,76,76,45,-6,6,-1.2,1.2,24.6,25.2
Icebox,1,T,CT,224.0,198.4,14.8,11.6,9,9,9,9,74,58,58,74,0,0,0.0,0.0,20.2,25.8
Ascent,1,T,CT,216.4,179.8,17.6,15.2,13,11,11,13,88,76,76,88,2,-2,0.4,-0.4,21.0,15.6
Haven,1,CT,T,188.0,196.8,15.4,15.8,11,12,12,11,77,79,79,77,-1,1,-0.2,0.2,24.4,26.4
Breeze,1,T,CT,238.0,166.0,16.2,10.2,11,7,7,11,81,51,51,81,4,-4,0.8,-0.8,27.8,33.2
Haven,1,T,CT,231.6,189.0,19.6,15.8,14,10,10,14,98,79,79,98,4,-4,0.8,-0.8,20.6,33.0
Icebox,1,CT,T,221.4,209.0,19.0,17.0,13,11,11,13,95,85,85,95,2,-2,0.4,-0.4,30.2,30.2
Breeze,-1,T,CT,187.4,221.0,12.4,15.4,7,12,12,7,62,77,77,62,-5,5,-1.0,1.0,25.6,28.2
Ascent,1,CT,T,181.0,188.2,14.4,15.4,8,15,15,8,72,77,77,72,-7,7,-1.4,1.4,30.6,24.0
Haven,-1,CT,T,169.6,207.6,11.4,14.8,10,10,10,10,57,74,74,57,0,0,0.0,0.0,26.2,33.2
Bind,-1,T,CT,207.2,221.2,15.6,17.6,12,10,10,12,78,88,88,78,2,-2,0.4,-0.4,27.6,24.2
Icebox,1,T,CT,190.0,216.6,15.2,17.4,11,12,12,11,76,87,87,76,-1,1,-0.2,0.2,27.4,32.2
Ascent,1,CT,T,226.8,159.2,18.2,12.4,15,7,7,15,91,62,62,91,8,-8,1.6,-1.6,27.6,21.8
Bind,-1,T,CT,168.0,207.8,12.2,15.8,11,10,10,11,61,79,79,61,1,-1,0.2,-0.2,24.0,30.6
Icebox,1,T,CT,239.0,169.6,14.6,8.8,9,7,7,9,73,44,44,73,2,-2,0.4,-0.4,26.2,27.4
Ascent,1,CT,T,225.0,154.0,15.6,9.6,13,6,6,13,78,48,48,78,7,-7,1.4,-1.4,22.8,23.0
Icebox,1,CT,T,209.4,198.8,17.8,15.8,16,8,8,16,89,79,79,89,8,-8,1.6,-1.6,27.6,28.6
Haven,-1,T,CT,170.2,222.6,12.2,17.2,9,12,12,9,61,86,86,61,-3,3,-0.6,0.6,29.0,30.0
Ascent,1,T,CT,216.0,193.0,16.2,13.8,11,10,10,11,81,69,69,81,1,-1,0.2,-0.2,20.0,23.2
Icebox,1,T,CT,237.0,210.8,17.8,14.0,9,12,12,9,89,70,70,89,-3,3,-0.6,0.6,18.2,22.8
Bind,1,CT,T,203.2,162.4,14.8,11.6,14,7,7,14,74,58,58,74,7,-7,1.4,-1.4,26.2,25.6
Fracture,1,CT,T,228.6,172.6,14.6,9.6,14,3,3,14,73,48,48,73,11,-11,2.2,-2.2,23.0,25.0
Breeze,-1,T,CT,191.4,207.4,13.8,15.8,8,13,13,8,69,79,79,69,-5,5,-1.0,1.0,30.8,31.2
Bind,-1,CT,T,182.8,209.2,16.4,19.8,12,14,14,12,82,99,99,82,-2,2,-0.4,0.4,19.2,30.0
Icebox,-1,T,CT,202.0,212.2,15.0,16.2,16,6,6,16,75,81,81,75,10,-10,2.0,-2.0,23.6,27.4
Icebox,-1,CT,T,149.8,256.8,6.2,13.6,4,10,10,4,31,68,68,31,-6,6,-1.2,1.2,20.0,26.0
Breeze,-1,CT,T,185.4,217.2,12.0,15.0,12,7,7,12,60,75,75,60,5,-5,1.0,-1.0,25.0,31.4
Fracture,1,CT,T,223.8,172.2,17.4,12.6,14,7,7,14,87,63,63,87,7,-7,1.4,-1.4,21.0,22.6
Icebox,1,T,CT,212.0,206.6,19.2,19.0,14,12,12,14,96,95,95,96,2,-2,0.4,-0.4,29.4,29.0
Icebox,1,CT,T,240.2,159.0,15.2,8.6,11,6,6,11,76,43,43,76,5,-5,1.0,-1.0,22.8,38.4
Bind,-1,CT,T,191.8,204.0,15.8,17.4,12,12,12,12,79,87,87,79,0,0,0.0,0.0,24.4,25.6
Ascent,1,CT,T,202.8,177.0,17.0,14.2,9,14,14,9,85,71,71,85,-5,5,-1.0,1.0,28.0,21.2
Bind,-1,T,CT,177.0,226.2,12.6,16.4,12,8,8,12,63,82,82,63,4,-4,0.8,-0.8,29.6,38.2
Haven,-1,CT,T,126.2,230.4,7.2,15.0,4,13,13,4,36,75,75,36,-9,9,-1.8,1.8,24.8,30.8
Breeze,-1,CT,T,185.8,207.0,19.4,21.4,16,14,14,16,97,107,107,97,2,-2,0.4,-0.4,26.4,24.0
Icebox,-1,CT,T,209.0,216.0,16.8,17.6,15,8,8,15,84,88,88,84,7,-7,1.4,-1.4,28.0,26.6
Bind,-1,T,CT,145.2,239.8,7.4,13.8,6,10,10,6,37,69,69,37,-4,4,-0.8,0.8,24.6,37.8
